date,impressions_organic,impressions_sponsored,impressions_total,unique_impressions_organic,clicks_total,reactions_total,comments_total,reposts_total,engagement_actions_total,engagement_rate_total
04/18/2026,0,0,0,0,0,0,0,0,0,0
04/19/2026,0,0,0,0,0,0,0,0,0,0
04/20/2026,0,0,0,0,0,0,0,0,0,0
04/21/2026,0,0,0,0,0,0,0,0,0,0
04/22/2026,0,0,0,0,0,0,0,0,0,0
04/23/2026,0,0,0,0,0,0,0,0,0,0
04/24/2026,0,0,0,0,0,0,0,0,0,0
04/25/2026,0,0,0,0,0,0,0,0,0,0
04/26/2026,0,0,0,0,0,0,0,0,0,0
04/27/2026,0,0,0,0,0,0,0,0,0,0
04/28/2026,0,0,0,0,0,0,0,0,0,0
04/29/2026,0,0,0,0,0,0,0,0,0,0
04/30/2026,0,0,0,0,0,0,0,0,0,0
05/01/2026,0,0,0,0,0,0,0,0,0,0
05/02/2026,0,0,0,0,0,0,0,0,0,0
05/03/2026,0,0,0,0,0,0,0,0,0,0
05/04/2026,0,0,0,0,0,0,0,0,0,0
05/05/2026,0,0,0,0,0,0,0,0,0,0
05/06/2026,78,0,78,41,0,0,0,0,0,0
05/07/2026,288,0,288,206,0,1,0,0,1,0.003472222222
05/08/2026,352,0,352,273,0,0,1,0,1,0.002840909091
05/09/2026,444,0,444,331,0,1,0,0,1,0.002252252252
05/10/2026,570,0,570,423,0,2,0,0,2,0.00350877193
05/11/2026,511,0,511,373,1,3,0,0,4,0.00782778865
05/12/2026,654,0,654,474,1,1,0,0,2,0.003058103976
05/13/2026,790,0,790,558,1,2,0,0,3,0.003797468354
05/14/2026,850,0,850,615,2,1,0,0,3,0.003529411765
05/15/2026,746,0,746,530,0,0,1,0,1,0.001340482574
05/16/2026,814,0,814,608,3,7,2,0,12,0.014742014742
05/17/2026,949,0,949,684,1,1,0,0,2,0.00210748156
